user	Action	Adventure	Animation	Childrens	Comedy	Crime	Documentary	Drama	Fantasy	Film_Noir	Horror	Musical	Mystery	Romance	Sci_Fi	Thriller	War	Western	Z score
445	1.810811	2.000000	3.000000	3.500000	1.903226	2.222222	3.000000	2.083333	3.244709	1.000000	1.428571	2.500000	2.400000	2.000000	1.733333	1.886364	1.625000	2.000000	2.963
448	4.000000	3.500000	3.555869	3.000000	3.000000	2.800000	5.000000	3.200000	3.244709	5.000000	1.500000	5.000000	2.666667	3.333333	4.333333	3.166667	2.666667	3.560632	1.991
451	3.333333	2.571429	1.000000	2.250000	2.782609	3.222222	4.000000	2.741935	1.000000	2.000000	3.500000	1.333333	3.818182	2.937500	3.400000	3.880000	2.833333	3.560632	2.658
461	2.500000	3.500000	3.555869	3.000000	2.700000	3.500000	3.722488	4.000000	3.244709	3.000000	1.000000	3.000000	2.666667	2.600000	3.500000	1.666667	2.500000	2.000000	2.026
509	2.615385	3.000000	3.555869	1.000000	1.714286	2.400000	3.722488	2.333333	1.000000	5.000000	3.333333	2.666667	2.600000	3.000000	3.666667	2.500000	3.000000	3.560632	2.151
519	4.100000	5.000000	3.555869	2.333333	3.500000	4.000000	3.722488	4.230769	3.244709	5.000000	3.500000	5.000000	3.000000	3.600000	2.000000	3.400000	5.000000	3.560632	1.969
531	3.500000	1.000000	3.555869	1.666667	2.000000	4.400000	3.722488	4.142857	3.000000	5.000000	1.500000	3.000000	4.333333	4.428571	1.000000	3.583333	4.666667	3.560632	3.824
562	3.384615	3.222222	3.600000	4.125000	2.941176	3.000000	3.722488	3.555556	3.000000	1.000000	5.000000	4.833333	5.000000	3.789474	2.700000	3.875000	3.250000	4.000000	2.814
609	2.333333	3.666667	2.333333	1.666667	1.454545	3.634215	3.722488	3.777778	3.244709	3.765311	2.000000	1.000000	1.000000	3.200000	3.000000	2.666667	3.717189	3.560632	2.381
617	1.812500	1.285714	3.555869	1.000000	1.666667	2.333333	4.000000	2.357143	2.000000	3.333333	2.558824	1.000000	3.333333	2.454545	2.692308	2.695652	2.500000	3.000000	2.087
626	1.625000	1.000000	3.555869	1.000000	1.500000	3.000000	3.722488	3.153846	3.244709	4.000000	2.333333	1.000000	2.833333	2.714286	2.000000	1.785714	3.000000	3.560632	2.095
656	1.500000	3.486068	3.555869	3.392440	2.666667	2.250000	3.722488	2.312500	3.244709	3.000000	3.310894	3.410054	1.750000	1.500000	3.000000	2.000000	1.000000	3.560632	1.998
681	3.000000	3.000000	3.000000	3.000000	3.666667	3.634215	3.722488	3.636364	3.244709	3.765311	1.000000	4.000000	2.000000	4.000000	1.000000	1.500000	4.333333	3.560632	2.214
685	1.000000	3.486068	3.555869	3.392440	2.333333	1.800000	3.722488	2.250000	3.244709	2.500000	2.000000	2.000000	2.000000	1.833333	3.533058	2.000000	1.000000	3.560632	2.464
702	3.062500	3.444444	4.000000	3.500000	1.333333	1.500000	3.722488	2.800000	3.244709	3.765311	1.500000	2.333333	1.500000	3.666667	3.454545	1.875000	1.000000	3.560632	3.299
724	2.062500	1.857143	1.500000	2.000000	2.333333	2.625000	3.722488	2.482759	1.000000	2.000000	2.333333	1.250000	2.875000	2.200000	2.200000	2.434783	1.714286	3.560632	2.265
731	2.428571	3.500000	2.666667	2.714286	3.269231	2.833333	1.000000	3.380952	3.244709	2.000000	1.000000	3.857143	2.600000	3.800000	1.750000	2.250000	2.666667	3.000000	2.918
739	3.909091	3.714286	1.000000	2.000000	4.000000	3.800000	3.722488	3.714286	3.244709	3.765311	1.000000	4.000000	4.000000	3.000000	3.800000	3.181818	3.500000	3.000000	2.411
771	2.600000	3.333333	4.454545	4.428571	4.142857	4.000000	3.722488	3.629630	5.000000	3.765311	3.310894	4.250000	5.000000	3.807692	3.285714	2.285714	3.428571	1.000000	2.357
774	2.148148	2.222222	1.500000	1.222222	1.762712	1.941176	4.000000	2.117647	1.000000	2.000000	1.629630	1.555556	2.000000	2.185185	2.250000	1.937500	2.772727	2.333333	2.659
850	4.833333	4.846154	5.000000	4.857143	4.250000	1.000000	3.722488	4.066667	3.244709	3.765311	4.000000	5.000000	4.000000	4.769231	4.875000	4.181818	5.000000	4.500000	2.499
857	2.333333	1.500000	3.555869	3.000000	3.142857	1.666667	3.722488	3.800000	3.000000	3.765311	3.310894	3.410054	3.000000	3.666667	5.000000	2.000000	1.000000	3.560632	2.875
865	1.857143	2.083333	2.117647	1.461538	2.000000	3.800000	5.000000	3.307692	1.000000	5.000000	1.000000	1.600000	3.333333	2.000000	2.454545	2.357143	2.000000	3.560632	3.161
866	1.000000	3.486068	3.555869	3.392440	3.400000	2.000000	3.722488	2.461538	3.244709	2.000000	3.310894	4.000000	2.000000	3.000000	3.533058	2.333333	3.717189	3.560632	2.100
